For events definition screenshots ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Event Name,Description,"Sample button
/URL",Property Name,isMandated,Property Value Type,Property Description,Suggested values (Red colored values are fixed allowed values),Standardisation,DBS/POSB SG PL Full API,SCB SG CC Full API,SCB SG PL Full API,OCBC Bot Service,CI FWD ,CI Etiqa,CI Wizard,Home Loan - TDSR Calculator,Home Loan - Property Tax Calculator,Home Loan - Stamp Duty Calculator,Home Loan - Refinance Calculator,Home Loan - MSR Calculator,Home Loan - Mortgage Calculator,Home Loan - Progressive Payment Calculator,Home Loan - Property Valuation Calculator,Home Loan HK - Mortgage Calculator,Home Loan HK - Property Valuation Calculator,Mortgage Home Page,New Purchase Home Page,Refinance Home Page,"New Listing Service
HK TI",Product Widgets
,,,,pageType,TRUE,string,Type of page user landed,"home-page,product-listing,product-details,blog-home-page, 
blog-category-listing, blog-article-details, form-page, login-page,
redirect-page, widgets, thank-you, interstitial-page",,,,,,,,,,,,,,,,,,,,,,,
,,,,language,TRUE,string,Locale of the page,"en,zh-hk",,id,id,id,xxx,xxx,xxx,,,,,,,,,,,,,,,,
,,,,country,TRUE,string,which market this events happened,"sg,hk,tw,ph,id",,id,id,id,xxx,xxx,xxx,,,,,,,,,,,,,,,,
,,,,formStep,TRUE,string,Indicates which step of the form submission the user has completed,"step-1, step-2, step-3, ...",,step-1,step-1,step-1,"step-1, step-2","step-1, step-2","step-1, step-2","step-1, step-2",,,,,,,,,,,,,,,
,,,,formName,TRUE,string,Name of the form. Should be unique in entire application,"credit-card-application, ",,"personal-loan-application, ","credit-card-application, ","personal-loan-application, ","credit-card-application, ",fwd-ci-application,etiqa-ci-application,car-insurance-wizard,,,,,,,,,,,,,,,
,,,,status,FALSE,string,Whether submission was successful or not,"true, false",,"true, false","true, false","true, false",TRUE,"true, false","true, false",,,,,,,,,,,,,,,,
,,,,error,FALSE,string,Pass error list,,,(Not applicable),(Not applicable),(Not applicable),(no need to send for now),(no need to send for now),(no need to send for now),,,,,,,,,,,,,,,,
,,,,formDetails,FALSE,string/json,key/value pair of form details,"{first_name:abc, last_name:def, etc..}",,(Not applicable),(Not applicable),(Not applicable),(no need to send for now),(no need to send for now),(no need to send for now),,,,,,,,,,,,,,,,
,,,,source,FALSE,string,Source of the event,blog-widget,,,,,,,,,,,,,,,,,,,,,,,
,,,,sourceId,FALSE,string,Id of the source,"123(WidgetId, incase of widget)",,,,,,,,,,,,,,,,,,,,,,,
3,LeadGeneration.FormSubmitted,Tracks when a user submits a form successfully.,,channel,TRUE,string,Product channel,"home-loan,refinancing,home-equity-loan,renovation-loan,
education-loan,car-loan,debt-consolidation-loan,personal-loan,
car-insurance,home-insurance,mortgage-insurance,travel-insurance,
life-insurance,personal-accident-insurance,health-insurance,
maid-insurance,international-health,fixed-deposit,savings-account,
credit-cards,tax-loan,lending-companies-loan,debt-consolidation-plan,banks-loan,blog",Application process,personal-loan,credit-cards,personal-loan,credit-cards,car-insurance,car-insurance,,home-loan,home-loan,home-loan,refinancing,home-loan,home-loan,home-loan,home-loan,home-loan,home-loan,,,,N/A,
,,,,pageType,TRUE,string,Type of page user landed,"home-page,product-listing,product-details,blog-home-page, 
blog-category-listing, blog-article-details, form-page, login-page,
redirect-page, widgets, thank-you, interstitial-page",,,,,,,,,,,,,,,,,,,,,,,
,,,,language,TRUE,string,Locale of the page,"en,zh-hk",,"personal-loan-application, ","credit-card-application, ","personal-loan-application, ",ocbc-credit-card-application,fwd-ci-application,etiqa-ci-application,,tdsr-calculator,property-tax-calculator,stamp-duty-calculator,refinance-calculator,msr-calculator,instalment-payment-calculator,progressive-payment-calculator,property-valuation-calculator,hk-mortgage-calculator,hk-property-valuation-calculator,,,,,
,,,,country,TRUE,string,which market this events happened,"sg,hk,tw,ph,id",,id,id,id,xxx,xxx,xxx,,,,,,,,,,,,,,,,
,,,,formName,TRUE,string,Name of the form. Should be unique in entire application,"credit-card-application, ",,"personal-loan-application, ","credit-card-application, ","personal-loan-application, ","credit-card-application, ",fwd-ci-application,etiqa-ci-application,car-insurance-wizard,,,,,,,,,,,,,,,
,,,,provider,TRUE,string,"Id of the product provider. Optional, only applies to forms for single products",,,id,id,id,xxx,xxx,xxx,,,,,,,,,,,,,,,,
,,,,formDetails,FALSE,string/json,key/value pair of form details,"{first_name:abc, last_name:def, etc..}",,(not Applicable),(not Applicable),(not Applicable),,(no need to send for now),(no need to send for now),,"{
    ""property"": ""condo"",
    ""total_applicant"": 2,
    ""age"": [21,37],
    ""citizenship"": [""Singaporean"",""PR""],
    ""properties_owned"": [0,1],
    ""current_home_loans"": [0,1],
    ""fixed_monthly_income"": [10000,50000],
    ""variable_monthly_income"": [1000,5000],
    ""cash_available"": [100000,500000],
    ""cpf_available"": [300000,800000],
    ""credit_cards_min_payment"": [0, 500],
    ""home_loans"": [0,5000],
    ""car_loans"": [0,1000],
    ""other_commitments"": [0,0],
    ""max_property_price"":854933.78,
    ""max_loan_amount"":641200.33
}","{
    ""annual_value"": 100000,
    ""begin_date"": 2019-01-01,
    ""end_date"": 2019-12-31,
    ""property_type"": ""hdb"",
    ""occupancy_status"": ""owner_occupied""
}","{
    ""purchase_price"": 500000,
    ""purchase_type"": ""single"",
    ""property_type"": ""hdb"",
    ""stage_of_construction"": ""completed"",
    ""properties_owned"": 0,
    ""citizenship"": ""Singaporean""
}","{
    ""remaining_loan_amount"": 500000,
    ""current_loan_term"": 15,
    ""new_loan_term"": 15,
    ""current_interest_rate"": 2.7,
    ""new_interest_rate"": 1.9
}","{
    ""purchase_type"": ""with_spouse"",
    ""fixed_monthly_income"": 10000,
    ""variable_annual_income"": 1000,
    ""joint_fixed_monthly_income"": 5000,
    ""joint_variable_annual_income"": 500
}","{
    ""loan_amount"": 351000,
    ""interest_rate"": 1.9,
    ""loan_tenure"": 15
}","{
    ""purchase_price"": 531000,
    ""loan_amount"": 191000,
    ""cpf_amount"": 35000,
    ""interest_rate"": 1.9,
    ""loan_tenure"": 15
}","{
    ""address"": ""339_clementi_avenue_5_clementi"",
    ""block"": """",
    ""floor"": 1,
    ""unit"": 1,
    ""flat_type"": ""3_room"",
    ""floor_area"": 990
}","{
    ""property_value"": 5000000,
    ""loan amount"": 3500000,
    ""premium_payment_option"": ""single_financed"",
    ""loan_tenor"": 30,
    ""bank"": ""other"",
    ""p_rate"": 5.375,
    ""p_minus"": 3,
    ""first_property"": true,
    ""self_use"": true,
    ""income_HK"": true,
    ""outstanding_mortgage"": false
}","{
    ""region"": ""Hong Kong"",
    ""district"": ""Central & Western"",
    ""building"": ""31 Robinson Road"",
    ""floor"": 41,
    ""flat"": ""A""
}",,,,,
,,,,source,FALSE,string,Source of the event,blog-widget,,,,,,,,,,,,,,,,,,,,,,,
,,,,sourceId,FALSE,string,Id of the source,"123(WidgetId, incase of widget)",,,,,,,,,,,,,,,,,,,,,,,
4,LeadGeneration.PaymentCompleted,Tracks when a user finish the payment,,channel,TRUE,string,Product channel,"home-loan,refinancing,home-equity-loan,renovation-loan,
education-loan,car-loan,debt-consolidation-loan,personal-loan,
car-insurance,home-insurance,mortgage-insurance,travel-insurance,
life-insurance,personal-accident-insurance,health-insurance,
maid-insurance,international-health,fixed-deposit,savings-account,
credit-cards,tax-loan,lending-companies-loan,debt-consolidation-plan,banks-loan,blog",,,,,,car-insurance,car-insurance,,,,,,,,,,,,,,,N/A,
,,,,pageType,TRUE,string,Type of page user landed,"home-page,product-listing,product-details,blog-home-page, 
blog-category-listing, blog-article-details, form-page, login-page,
redirect-page, widgets, thank-you, interstitial-page",,,,,,,,,,,,,,,,,,,,,,,
,,,,formName,TRUE,string,Name of the form. Should be unique in entire application,"credit-card-application, ",,,,,,fwd-ci-application,etiqa-ci-application,,,,,,,,,,,,,,,,
,,,,language,TRUE,string,Locale of the page,"en,zh-hk",,,,,,,,,,,,,,,,,,,,,,,
,,,,country,TRUE,string,which market this events happened,"sg,hk,tw,ph,id",,,,,,,,,,,,,,,,,,,,,,,
